temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
-0.92,87,1018.8,0.3,100,115.7,40.49,32.985843,66.531452,38.837352
0.03,85,1018.7,0,82,258.1,40.61,21.355186,62.028042,43.892087
0.99,85,1018.2,0,70,366.68,40.76,15.883609,60.454572,68.468864
1.78,74,1017.7,0,100,267,41.32,21.435635,62.039372,44.855
2.18,74,1018.3,0,100,250.09,40.9,33.093417,66.552385,26.84328
2.64,72,1018.5,0,100,195.8,39.3,46.453577,73.435836,21.373333
2.73,73,1018.1,0,73,169.1,39.25,60.192626,81.949616,9.8601908
-2.99,94,1027.7,0,100,0,15.58,60.221244,81.866205,39.840833
-3.27,96,1028.5,0,100,4.45,14.76,46.343508,73.251867,193.89462
-2.62,90,1029.9,0,100,103.24,14.41,32.94899,66.347052,674.70417
-1.26,83,1029.4,0,100,270.56,18.68,21.285403,61.832247,1512.4509
-0.13,79,1029.2,0,78,405.84,23.83,15.660676,60.223538,2386.7665
2.33,64,1027.9,0,10,473.48,21.63,21.230043,61.800135,1902.4103
3.12,59,1027.2,0,0,488.61,22.55,32.943347,66.316032,1494.7838
3.52,54,1027,0,0,499.29,22.18,46.340854,73.20948,507.36284
3.58,54,1027,0,0,420.97,22.51,60.107916,81.737581,112.26474
3.17,56,1026.9,0,0,299.93,22.01,107.42,118.85498,26.661348
-2.86,68,1032.4,0,9,0,5.4,60.256318,81.730486,480.965
-2.79,70,1032.2,0,70,8.01,5.86,46.348278,73.089398,1610.4259
-0.48,62,1031.9,0,0,140.62,9.72,32.908601,66.156198,2332.3159
0.86,54,1032.8,0,0,291.03,15.63,21.111896,61.59907,2664.7049
2.62,45,1031.7,0,0,412.07,18.67,15.432475,59.986603,2899.872
3.86,47,1031,0,0,502.85,20.61,21.023016,61.555764,2822.5761
5.02,44,1030.6,0,0,526.88,21.43,32.737846,66.05026,2520.3628
5.72,44,1030.7,0,0,494.84,21.41,46.230416,72.979873,1566.4214
5.68,48,1029.7,0,0,414.74,19.67,60.025904,81.522951,232.96167
5.14,55,1030,0,0,295.48,16.85,107.50654,118.67814,34.047386
-3.08,96,1035.7,0,100,0,5.4,60.288403,81.588518,451.43028
-3.9,100,1036.9,0,49,8.01,4.74,46.349846,72.920584,457.51195
-1.45,75,1036.7,0,25,141.51,7.79,32.864753,65.958959,2283.9918
0.9,50,1035.2,0,1,299.04,11.11,20.983902,61.37517,2709.7533
2.45,44,1034.6,0,0,423.64,15.46,15.19911,59.743863,2898.309
4.01,45,1033.4,0,93,489.5,19.48,20.814784,61.306367,2839.5309
4.94,40,1032.5,0,0.3,530.44,21.13,32.647237,65.830907,2517.6672
5.6,38,1032.2,0,1.2,506.41,22.01,46.126298,72.749556,1643.3694
5.72,38,1031.7,0,1.2,429.87,22.7,60.063468,81.381671,240.32569
